latitud,longitud,tension,disponibilidad,comunidad autonoma,provincia,municipio,codigo,comentario
41.54879493,2.17278213,,137.6,Catalunya,Barcelona,Polinya,08166,
41.58750659,2.32009053,,262.9,Catalunya,Barcelona,La Roca del Valles,08180,
41.58750659,2.32009053,,165.8,Catalunya,Barcelona,La Roca del Valles,08180,
41.2529497,1.72212604,,170.3,Catalunya,Barcelona,Vilanova i la Geltru,08308,
41.47341028,2.00992574,,118.6,Catalunya,Barcelona,Rubi,08183,
41.44647522,2.1895794,,174,Catalunya,Barcelona,Barcelona,08900,
41.44647522,2.1895794,,90.5,Catalunya,Barcelona,Barcelona,08900,
41.44647522,2.1895794,,150.7,Catalunya,Barcelona,Barcelona,08900,
41.33596947,2.04074575,,206.5,Catalunya,Barcelona,Sant Boi de Llobregat,08199,
41.33596947,2.04074575,,115.7,Catalunya,Barcelona,Sant Boi de Llobregat,08199,
41.41648956,2.05990294,,34.2,Catalunya,Barcelona,Barcelona,08900,
41.99516713,2.23054293,,84.5,Catalunya,Barcelona,Santa Cecilia de Voltrega,08243,
41.99516713,2.23054293,,42.5,Catalunya,Barcelona,Santa Cecilia de Voltrega,08243,
41.70653713,2.47087135,,119.7,Catalunya,Barcelona,Sant Celoni,08201,
41.70653713,2.47087135,,62.1,Catalunya,Barcelona,Sant Celoni,08201,
41.46009644,2.1912105,,172.1,Catalunya,Barcelona,Santa Coloma de Gramenet,08245,
41.46009644,2.1912105,,86.6,Catalunya,Barcelona,Santa Coloma de Gramenet,08245,
41.46009644,2.1912105,,140.2,Catalunya,Barcelona,Santa Coloma de Gramenet,08245,
41.4869315,2.07646028,,102.7,Catalunya,Barcelona,Sant Cugat del Valles,08204,
41.39584889,2.03545689,,27.1,Catalunya,Barcelona,Sant Feliu de Llobregat,08210,
41.39584889,2.03545689,,27.1,Catalunya,Barcelona,Sant Feliu de Llobregat,08210,
41.51184441,2.21819657,,292.2,Catalunya,Barcelona,Sant Fost de Campsentelles,08208,
41.51184441,2.21819657,,97.8,Catalunya,Barcelona,Sant Fost de Campsentelles,08208,
41.36381657,2.06615772,,127.4,Catalunya,Barcelona,Sant Joan Despi,08216,
41.36381657,2.06615772,,107.1,Catalunya,Barcelona,Sant Joan Despi,08216,
41.36381657,2.06615772,,45.1,Catalunya,Barcelona,Sant Joan Despi,08216,
41.39221048,2.07948546,,85.9,Catalunya,Barcelona,Sant Just Desvern,08219,
41.39221048,2.07948546,,212,Catalunya,Barcelona,Sant Just Desvern,08219,
41.42717043,2.19935338,,97.7,Catalunya,Barcelona,Barcelona,08900,
41.42717043,2.19935338,,39.6,Catalunya,Barcelona,Barcelona,08900,
41.51691184,2.33470904,,232.2,Catalunya,Barcelona,Premia de Dalt,08230,
41.51691184,2.33470904,,92.4,Catalunya,Barcelona,Premia de Dalt,08230,
41.26000441,1.7491368,,113.9,Catalunya,Barcelona,Sant Pere de Ribes,08231,
41.26000441,1.7491368,,113.9,Catalunya,Barcelona,Sant Pere de Ribes,08231,
41.64875681,2.69674413,,173.1,Catalunya,Barcelona,Santa Susanna,08261,
41.64875681,2.69674413,,63.3,Catalunya,Barcelona,Santa Susanna,08261,
41.56283149,2.10046153,,113.3,Catalunya,Barcelona,Sabadell,08186,
41.56283149,2.10046153,,113.3,Catalunya,Barcelona,Sabadell,08186,
41.56283149,2.10046153,,42.8,Catalunya,Barcelona,Sabadell,08186,
41.81929494,1.88522529,,35.8,Catalunya,Barcelona,Sallent,08190,
41.81929494,1.88522529,,35.8,Catalunya,Barcelona,Sallent,08190,
41.36849801,2.12287297,,467.7,Catalunya,Barcelona,Hospitalet de Llobregat,08100,
41.36849801,2.12287297,,95.3,Catalunya,Barcelona,Hospitalet de Llobregat,08100,
